perangkatid;name;processor_brand;processor_name;ram;storage_capacity;storage_type;battery;screen;graphic;price
30001;ASUS ROG Strix SCAR 17 Core i9 12th Gen;Intel;Core i9;32 GB;1 TB;SSD;4;WQHD, IPS-level, 300nits, Contras 1000:1, Anti-glare display;NVIDIA GeForce RTX 3070 Ti;49042413
30002;ASUS ROG Strix SCAR 15 Core i9 12th Gen;Intel;Core i9;32 GB;1 TB;SSD;3;WQHD, IPS-level, 300nits, Contras 1000:1, Anti-glare display;NVIDIA GeForce RTX 3070 Ti;47998913
30003;HP Victus Ryzen 7 Octa Core 5800H;AMD;Ryzen 7 Octa Core;16 GB;512 GB;SSD;5;Full HD, 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, Brightness: 300 nits, 137 ppi;NVIDIA GeForce RTX 3050;21723791
30004;Lenovo IdeaPad Gaming 3i Ryzen 7 Octa Core R7;AMD;Ryzen 7 Octa Core;16 GB;512 GB;SSD;4;Full HD Anti-glare Display, 250nits Brightness, 120Hz, 45 Percent NTSC, DC Dimmer;NVIDIA GeForce RTX 3050;18306537
30005;Lenovo Yoga Slim 7 Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;12;Full HD;Intel Integrated Intel;15859113
30006;Lenovo Yoga Slim 7 Core i7 11th Gen;Intel;Core i7;16 GB;512 GB;SSD;15;"14"" FHD (1920x1080) | IPS Technology | 300Nits Brightness |100% sRGB";Intel Integrated Iris Xe Graphics;16361036
30007;Lenovo Lenovo V15 Celeron Dual Core;Intel;Celeron Dual Core;4 GB;256 GB;SSD;6;;Intel Integrated Intel HD;6112823
30008;Lenovo Yoga 6 Ryzen 7 Octa Core R7;AMD;Ryzen 7 Octa Core;16 GB;1 TB;SSD;18;"13"" FHD (1920x1080) | IPS Technology | 300 Nits Glossy | Touch";AMD Radeon Integrated AMD Radeonâ¢ Graphics;1905597
30009;ASUS TUF Gaming F15 Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;SSD;5;15.6-inch, FHD (1920 x 1080) 16:9, anti-glare display, sRGB:62.5%, Adobe:47.1%, Refresh Rate:144Hz, Value IPS-level, Optimus;NVIDIA GeForce GTX 1650;13563413
30010;DELL Inspiron Pentium Silver;Intel;Pentium Silver;8 GB;256 GB;SSD;7;HD, AG Narrow Border;Intel Integrated UHD Graphics;6886891
30011;DELL Inspiron Athlon Dual Core 3050U;AMD;Athlon Dual Core;8 GB;256 GB;SSD;7;HD AG Narrow Border;AMD Radeon Radeon Graphics;6467613
30012;DELL Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;13;Full HD WVA Infinity Edge;Intel Integrated Iris Xe;31230911
30013;Lenovo Yoga 7i Ryzen 7 Octa Core R7;AMD;Ryzen 7 Octa Core;16 GB;512 GB;SSD;10;35.5cms (14) FHD IPS (1920 x 1080) 300 nits, wide-viewing angle touchscreen, 72% NTSC, 16:9 aspect ratio, anti-glare;AMD Radeon Integrated AMD Radeon Graphics;2070700
30014;ASUS Ryzen 7 Dual Core 7th Gen;AMD;Ryzen 7 Dual Core;16 GB;512 GB;SSD;4;;NVIDIA GeForce RTX3050- 4GB;17317926
30015;ASUS Ryzen 3 Quad Core 3rd Gen;AMD;Ryzen 3 Quad Core;8 GB;256 GB;SSD;4;;AMD Radeon amd redeon;7711256
30016;ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core Ryzen 9 5900HS 5th Gen;AMD;Ryzen 9 Octa Core;32 GB;1 TB;SSD;4;WUXGA LED Backlit Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 120 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 72% NTSC Color Gamut, 100% sRGB, 75% Adobe, 75% DCI-P3, Pantone Validated);NVIDIA GeForce GTX 1650;27128913
30017;MSI GP66 Leopard Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;3;Full HD IPS Display (100% sRGB);NVIDIA GeForce RTX 3070;33030949
30018;ASUS Vivobook 15 OLED Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;3;15.6-inch, FHD (1920 x 1080) OLED 16:9 aspect ratio, LED Backlit, 0.2ms response time, 600nits peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light, SGS Eye Care Display, Screen-to-body ratio: 85 ?;Intel Integrated IntelÂ® UHD Graphics;10015513
30019;realme Book Prime Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;12;Quad HD, 60 Hz Refresh Rate;Intel Integrated Iris Xe;13563413
30020;realme Book Prime Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;12;Quad HD, 60 Hz Refresh Rate;Intel Integrated Iris Xe;13563413
30021;realme Book Prime Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;12;Quad HD, 60 Hz Refresh Rate;Intel Integrated Iris Xe;13563413
30022;DELL G15 Core i7 11th Gen;Intel;Core i7;16 GB;512 GB;SSD;10;Full HD, WVA AG, 300 nits, 165Hz, 100% RGB(SE), Narrow Border;NVIDIA GeForce RTX 3050 Ti;21702713
30023;DELL Ryzen 5 Hexa Core 5600H;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;10;Full HD IPS Narrow 120Hz 250 nits 45%;NVIDIA GeForce RTX 3050;14502563
30024;Avita SATUS Celeron Dual Core;Intel;Celeron Dual Core;4 GB;128 GB;SSD;8;FHD, IPS;Intel Integrated UHD Graphics;4589313
30025;ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen;Intel;Core i5;16 GB;512 GB;SSD;3;OLED, (Peak brightness 600 Nits, 100% DCI-P3 color gamut);Intel Integrated Iris Xe Graphics;15650413
30026;ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen;Intel;Core i7;16 GB;512 GB;SSD;7;OLED, Anti-glare Display, Screen-to-Body Ratio: 85%, 16:9 Aspect Ratio, 90 Hz Refresh Rate, 600nits Peak Brightness, 100% DCI-P3 Color Gamut, Contrast Ratio: 1000000:1;Intel Integrated Iris Xe;19824413
30027;ASUS Zenbook 14 OLED (2022) Intel EVO Core i5 12th Gen;Intel;Core i5;16 GB;512 GB;SSD;3;OLED, Aspect Ratio: 16:10, 0.2ms Response Time, 90 Hz Refresh Rate, 400nits Brightness, 600nits Peak Brightness, 100% DCI-P3 Color Gamut, Contrast Ratio: 1000000:1, Color Depth: 1.07 Billion, Glossy Display, 70% Less Harmful Blue Light, SGS Eye Care Display, Screen-to-Body Ratio: 90%;Intel Integrated Iris Xe;18780913
